%ARFF automatically created from Dataset

@RELATION test
@ATTRIBUTE mcg NUMERIC
@ATTRIBUTE gvh NUMERIC
@ATTRIBUTE lip NUMERIC
@ATTRIBUTE chg NUMERIC
@ATTRIBUTE aac NUMERIC
@ATTRIBUTE alm1 NUMERIC
@ATTRIBUTE alm2 NUMERIC
@ATTRIBUTE class {pp,cp,im,imU,omL,om,imL,imS}

@DATA
71,86,48,5,4,54,32,pp
42,35,48,5,58,15,27,cp
28,38,48,5,5,33,42,cp
89,55,48,5,51,72,76,im
64,72,48,5,49,42,19,pp
64,84,48,5,37,45,4,pp
23,4,48,5,39,28,38,cp
76,71,48,5,5,71,75,imU
66,74,48,5,31,38,43,pp
53,38,48,5,44,26,36,cp
74,44,48,5,55,88,89,im
3,16,48,5,56,11,23,cp
25,4,48,5,46,44,52,cp
51,4,48,5,57,62,67,im
67,39,48,5,36,38,46,cp
37,5,48,5,42,36,45,cp
2,46,48,5,57,78,81,im
37,44,48,5,42,39,47,cp
83,48,48,5,65,76,79,imU
77,57,1,5,37,54,1,omL
7,53,48,5,7,86,87,imU
58,34,48,5,56,87,81,im
68,78,48,5,43,44,42,pp
27,35,48,5,51,77,79,im
68,63,48,5,73,4,3,om
12,43,48,5,63,7,74,im
57,59,48,5,39,47,33,pp
2,44,48,5,46,51,57,cp
63,51,48,5,64,72,76,imU
42,4,48,5,56,18,3,cp
4,45,48,5,38,22,0,cp
65,51,48,5,66,54,33,om
24,43,48,5,37,28,38,cp
42,38,48,5,54,34,43,cp
49,29,48,5,56,24,35,cp
73,26,48,5,57,75,78,imU
23,58,48,5,37,53,59,cp
81,44,48,5,42,67,68,imU
47,29,48,5,51,33,43,cp
52,44,48,5,37,36,42,cp
84,54,48,5,75,92,7,imU
88,42,48,5,52,73,75,imU
64,45,48,5,67,61,66,imU
4,29,48,5,42,35,44,cp
74,47,48,5,5,57,42,pp
48,49,48,5,52,77,71,im
68,51,48,5,71,75,78,im
7,4,48,5,56,86,83,im
5,51,48,5,27,23,34,cp
6,46,48,5,45,81,83,im
4,35,48,5,45,33,42,cp
36,45,48,5,38,79,17,im
68,49,1,5,62,55,28,omL
79,41,48,5,66,81,83,imU
27,3,48,5,71,28,39,cp
59,49,48,5,52,45,36,cp
69,8,48,5,46,57,26,pp
56,4,48,5,49,37,46,cp
31,23,48,5,73,5,14,cp
44,27,48,5,55,52,58,cp
67,81,48,5,54,49,23,pp
71,46,1,5,52,59,3,omL
61,36,48,5,49,35,44,cp
25,37,48,5,43,26,36,cp
84,49,48,5,55,78,74,imU
23,33,48,5,43,33,43,cp
49,42,48,5,53,79,81,im
36,42,48,5,53,32,41,cp
64,46,48,5,48,73,76,imU
29,37,48,5,48,44,52,cp
37,52,48,5,42,42,36,cp
63,57,48,5,49,7,2,pp
4,5,48,5,65,82,84,im
44,49,48,5,39,38,4,cp
6,76,1,5,77,59,52,om
74,56,48,5,47,68,3,pp
73,84,48,5,86,58,29,om
33,45,48,5,52,32,41,cp
67,84,48,5,74,54,37,om
25,37,48,5,41,33,42,cp
61,75,48,5,51,33,33,om
7,64,48,5,47,51,47,pp
26,4,48,5,36,26,37,cp
32,39,48,5,53,28,38,pp
63,86,48,5,39,47,34,pp
55,47,48,5,57,78,8,im
75,84,48,5,35,52,33,pp
62,78,48,5,47,49,54,pp
44,34,48,5,3,33,43,cp
63,1,48,5,35,51,49,pp
36,39,48,5,48,22,23,cp
35,48,48,5,56,4,48,cp
62,83,48,5,46,36,4,pp
33,37,48,5,46,65,69,im
44,35,48,5,44,52,59,cp
68,76,48,5,84,45,27,om
73,36,48,5,53,91,92,im
63,65,48,5,66,67,71,im
3,44,48,5,49,22,33,cp
66,71,48,5,41,5,35,pp
74,49,48,5,42,54,36,pp
34,35,48,5,51,49,56,cp
29,3,48,5,45,3,17,cp
61,47,48,5,0,8,32,im
52,54,48,5,62,76,79,im
24,34,48,5,38,3,4,cp
68,82,48,5,38,65,56,pp
78,33,48,5,57,77,79,imU
26,5,48,5,44,32,41,cp
22,36,48,5,35,39,47,cp
39,32,48,5,46,24,35,cp
73,78,48,5,58,51,31,pp
47,55,48,5,58,71,75,im
34,51,48,5,44,37,46,cp
5,37,48,5,66,64,69,im
46,59,48,5,36,76,23,im
71,52,48,5,64,1,99,im
25,4,48,5,47,33,42,cp
32,42,48,5,35,28,38,cp
22,34,48,5,42,29,39,cp
3,51,48,5,42,61,34,im
52,57,48,5,42,47,54,cp
45,4,48,5,61,74,77,im
63,42,48,5,48,77,8,imU
81,53,48,5,57,87,88,imU
63,49,48,5,79,45,28,om
74,74,48,5,31,53,52,pp
43,37,48,5,53,35,44,cp
29,47,48,5,71,65,69,im
6,61,48,5,54,67,71,im
25,26,48,5,39,32,42,cp
67,88,48,5,73,5,25,om
48,41,48,5,51,9,88,im
54,57,48,5,56,81,83,im
75,55,1,1,4,47,3,imL
54,49,48,5,4,87,88,im
43,4,48,5,39,28,39,cp
52,36,48,5,41,28,38,cp
59,56,48,5,55,8,82,im
68,67,48,5,49,4,34,pp
86,39,48,5,59,89,9,imU
65,55,48,5,34,37,28,cp
74,7,48,5,66,65,69,im
66,86,48,5,34,41,36,pp
51,5,48,5,46,32,35,cp
63,71,48,5,6,4,39,pp
62,42,48,5,58,79,81,imU
1,49,48,5,41,67,21,im
29,52,48,5,42,29,39,cp
81,52,48,5,57,78,8,imU
56,51,48,5,34,37,46,cp
29,47,48,5,41,23,34,cp
79,54,48,5,5,66,68,imU
5,49,48,5,49,46,53,cp
31,5,48,5,57,84,85,im
38,44,48,5,43,2,31,cp
41,43,48,5,45,31,41,cp
52,39,48,5,65,71,73,im
69,59,48,5,77,39,21,om
67,81,48,5,25,42,25,pp
31,47,48,5,29,28,39,cp
31,44,48,5,5,79,82,im
69,65,48,5,63,48,41,pp
64,66,48,5,41,39,2,pp
36,47,48,5,51,69,72,im
41,57,48,5,39,21,32,cp
64,58,48,5,48,78,73,im
41,51,48,5,53,75,78,im
54,47,48,5,28,33,42,cp
84,44,48,5,48,71,74,im
38,4,48,5,63,25,35,cp
71,71,48,5,4,54,39,pp
39,41,48,5,52,72,75,im
76,73,48,5,44,39,39,pp
51,49,48,5,53,14,26,cp
63,69,48,5,65,41,28,om
46,61,48,5,48,86,87,im
63,8,48,5,46,31,29,pp
57,54,48,5,37,28,33,cp
47,47,48,5,22,16,26,cp
44,56,48,5,5,46,54,cp
41,51,48,5,58,2,31,cp
58,55,48,5,57,7,74,im
43,59,48,5,52,49,56,pp
5,66,48,5,31,92,92,im
7,61,48,5,56,52,43,pp
34,51,48,5,67,9,9,im
64,57,48,5,7,33,26,om
59,61,48,5,42,42,37,pp
72,86,48,5,17,55,21,pp
6,5,1,5,54,77,8,im
67,37,48,5,54,64,68,imU
61,66,48,5,46,87,88,im
43,32,48,5,33,45,52,cp
74,78,48,5,75,54,15,om
56,68,48,5,77,36,45,om
71,4,48,5,71,7,74,im
59,29,48,5,64,75,77,imU
47,28,48,5,56,2,25,cp
71,57,48,5,48,35,32,pp
47,46,48,5,62,74,77,imU
29,28,48,5,5,42,5,cp
76,41,48,5,5,59,62,imU
38,3,48,5,43,29,39,cp
51,46,48,5,58,31,41,cp
3,37,48,5,43,18,3,cp
47,59,48,5,52,76,79,im
77,55,48,5,51,78,74,imU
72,46,48,5,51,66,7,im
51,54,48,5,41,34,43,cp
74,9,48,5,57,53,29,om
34,28,48,5,41,35,44,cp
26,26,48,5,34,25,35,cp
51,37,48,5,35,36,45,cp
44,35,48,5,55,55,61,cp
78,44,48,5,45,73,68,imU
65,47,48,5,59,3,4,cp
34,42,48,5,41,34,43,cp
75,76,48,5,83,57,3,om
32,33,48,5,6,6,2,cp
63,54,48,5,65,79,81,im
24,35,48,5,31,19,31,cp
52,81,48,5,72,38,38,om
4,46,48,5,52,49,56,cp
63,5,48,5,59,85,86,im
36,56,48,5,43,45,53,cp
53,42,48,5,16,29,39,cp
23,34,48,5,43,26,37,cp
44,42,48,5,42,25,2,cp
34,49,48,5,58,85,8,im
21,34,48,5,51,28,39,cp
21,51,48,5,5,32,41,cp
34,45,48,5,38,24,35,cp
43,4,48,5,58,75,78,im
61,6,48,5,44,39,38,pp
29,28,48,5,44,23,34,cp
36,54,48,5,41,38,46,cp
4,42,48,5,37,27,27,cp
61,45,48,5,48,35,41,cp
33,56,48,5,33,78,8,im
27,42,48,5,37,38,43,cp
75,37,48,5,64,7,74,imU
34,67,48,5,52,76,79,im
79,36,48,5,46,82,7,imU
74,82,48,5,49,49,41,pp
7,4,48,5,54,35,44,cp
4,31,48,5,41,29,39,cp
71,71,48,5,68,43,36,om
41,43,48,5,5,24,25,cp
34,46,48,5,52,35,44,cp
25,51,48,5,37,42,5,cp
42,3,48,5,48,26,36,cp
17,52,48,5,49,37,46,cp
35,51,48,5,61,71,74,im
23,48,48,5,59,88,89,im
16,43,48,5,54,27,37,cp
63,83,48,5,4,39,19,pp
66,49,1,5,54,56,36,omL
37,47,48,5,39,76,79,im
42,24,48,5,57,27,37,cp
4,41,48,5,55,22,33,cp
69,43,48,5,59,74,77,imU
63,49,48,5,54,76,79,imS
77,57,48,5,88,53,2,om
0,38,48,5,42,48,55,cp
17,38,48,5,45,42,5,cp
22,43,48,5,48,16,28,cp
24,43,48,5,54,52,59,cp
85,53,48,5,53,52,35,imS
63,47,48,5,51,82,84,im
34,33,48,5,38,35,44,cp
86,55,48,5,63,81,83,imU
29,39,48,5,52,4,48,pp
69,66,48,5,41,5,25,pp
44,52,48,5,43,47,54,im
16,51,48,5,33,39,48,im
44,51,48,5,47,26,36,cp
41,48,48,5,51,44,51,cp
36,41,48,5,48,47,54,cp
24,57,48,5,63,34,43,cp
17,39,48,5,53,3,39,cp
3,45,48,5,36,21,32,cp
58,6,48,5,59,73,76,imU
67,7,48,5,46,45,33,pp
5,57,48,5,71,61,66,im
38,46,48,5,48,22,29,cp
7,39,1,5,51,82,84,imL
63,75,48,5,64,73,66,im
67,61,48,5,51,37,38,pp
83,37,48,5,61,71,74,im
6,61,48,5,49,92,37,im
78,68,48,5,83,4,29,om
28,33,48,5,45,22,33,cp
56,54,48,5,43,37,3,pp
7,46,48,5,56,78,73,im
33,45,48,5,45,88,89,im
3,37,48,5,59,41,49,cp
23,32,48,5,55,25,35,cp
25,48,48,5,44,17,29,cp
61,52,48,5,54,67,52,im
63,65,48,5,39,44,35,pp
48,45,48,5,6,78,8,im
7,71,48,5,42,84,85,pp
